Temp(K)	J(f,T)	Wavelength(nanometers)	Wavelength(meters)	Intensity(W/m^2)	u(lambda,T)
200	4*10^-6	14.489			1.45*10^-5		9.07*10^1		0.0547
500	4*10^-4	5.796			5.89*10^-6		3.54*10^3		5.34
700	2*10^-3	4.14			4.14*10^-6		1.36*10^4		2.871*10^1
1000	0.01	2.898			2.90*10^-6		5.67*10^4		1.708*10^2
1500	0.10	1.932			1.93*10^-6		2.87*10^5		1.295*10^3
2000	0.41	1.449			1.44*10^-6		9.07*10^5		5.466*10^3
2500	1.26	1.156			1.16*10^-6		2.22*10^6		1.668*10^4
3500	6.76	8.28*10^-1		8.28*10^-7		8.51*10^6		8.872*10^4
4500	23.74	6.44*10^-1		6.44*10^-7		2.33*10^7		3.152*10^5
5000	40.21	5.80*10^-1		5.80*10^-7		3.54*10^7		5.338*10^5
7500	305.36	3.86*10^-1		3.86*10^-7		1.79*10^8		4.054*10^6
10000	1286.78	2.90*10^-1		3.90*10^-7		5.67*10^8		1.708*10^7
